DataRightsHolder,Country,CampaignID,DataAccess,StartDate,EndDate,Notes
"202","BE","110001058","Public","2023-01-27","2023-01-27",""
"202","BE","110001059","Public","2023-02-28","2023-02-28",""
"202","BE","110001060","Public","2023-03-20","2023-03-20",""
"202","BE","110001061","Public","2023-06-23","2023-06-23",""
"202","BE","110001062","Public","2023-07-25","2023-07-25",""
"202","BE","110001063","Public","2023-08-23","2023-08-23",""
"202","BE","110001064","Public","2023-09-29","2023-09-29",""
"202","BE","110001065","Public","2023-10-27","2023-10-27",""
"202","BE","110001066","Public","2023-11-29","2023-11-29",""
"202","BE","110001067","Public","2023-12-15","2023-12-15",""
"202","BE","110001052","Public","2023-02-15","2023-02-15",""
"202","BE","110001053","Public","2023-02-16","2023-02-16",""
"202","BE","110001054","Public","2023-02-17","2023-02-17",""
"202","BE","110001055","Public","2023-04-19","2023-04-19",""
"202","BE","110001056","Public","2023-04-20","2023-04-20",""
"202","BE","110001057","Public","2023-04-23","2023-04-23",""
"202","BE","110001068","Public","2023-10-26","2023-10-26",""
"202","BE","110001069","Public","2023-10-27","2023-10-27",""
"202","BE","110001070","Public","2023-10-30","2023-10-30",""
"202","BE","110001071","Public","2023-10-31","2023-10-31",""
"202","BE","110001072","Public","2023-12-14","2023-12-14",""
"202","BE","110001073","Public","2023-12-15","2023-12-15",""
