CampaignID,SampleID,Date,PlatformCode,PlatformClass,PlatformSide,PlatformHeight,TransectWidth,SamplingMethod,PrimarySampling,TargetTaxa,DistanceBins,UseOfBinoculars,NumberOfObservers,Notes
"110001058","110001058","2023-01-27","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001059","110001059","2023-02-28","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001060","110001060","2023-03-20","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001061","110001061","2023-06-23","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001062","110001062","2023-07-25","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001063","110001063","2023-08-23","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001064","110001064","2023-09-29","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001065","110001065","2023-10-27","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001066","110001066","2023-11-29","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001067","110001067","2023-12-15","11SS","30","",,300,"1",True,"1","0|50|100|200|300","3",,""
"110001052","110001052","2023-02-15","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001053","110001053","2023-02-16","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001054","110001054","2023-02-17","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001055","110001055","2023-04-19","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001056","110001056","2023-04-20","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001057","110001057","2023-04-23","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001068","110001068","2023-10-26","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001069","110001069","2023-10-27","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001070","110001070","2023-10-30","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001071","110001071","2023-10-31","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001072","110001072","2023-12-14","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
"110001073","110001073","2023-12-15","11BU","30","",,300,"1",True,"1","0|50|100|200|300","3",2,""
